game_pk,temperature,Park
717250.0,83.0,Target Field
717248.0,82.0,Yankee Stadium
717242.0,85.0,Fenway Park
717239.0,73.0,Minute Maid Park
717245.0,89.0,Citizens Bank Park
717246.0,81.0,Petco Park
717254.0,80.0,American Family Field
717249.0,86.0,Progressive Field
717251.0,61.0,Oracle Park
718632.0,69.0,PNC Park
718634.0,55.0,Citi Field
718636.0,65.0,Truist Park
718637.0,56.0,Progressive Field
718640.0,66.0,Target Field
718641.0,55.0,Oracle Park
718627.0,94.0,Chase Field
718630.0,73.0,Globe Life Field
718628.0,67.0,Wrigley Field
718635.0,64.0,Oriole Park at Camden Yards
718629.0,75.0,Coors Field
718631.0,66.0,Angel Stadium
718638.0,72.0,Tropicana Field
718633.0,64.0,Citizens Bank Park
717243.0,78.0,Comerica Park
717241.0,90.0,Citi Field
717233.0,86.0,Guaranteed Rate Field
717247.0,84.0,Comerica Park
717238.0,99.0,Busch Stadium
717237.0,84.0,Oriole Park at Camden Yards
717234.0,90.0,PNC Park
717235.0,82.0,Rogers Centre
717224.0,73.0,Petco Park
717229.0,73.0,Minute Maid Park
717232.0,97.0,Kauffman Stadium
717230.0,87.0,Citi Field
717225.0,79.0,Dodger Stadium
717226.0,96.0,Busch Stadium
717236.0,72.0,loanDepot park
717223.0,78.0,Chase Field
717227.0,83.0,Coors Field
717231.0,80.0,Truist Park
717220.0,62.0,Oracle Park
717228.0,86.0,Guaranteed Rate Field
717212.0,87.0,Coors Field
717221.0,65.0,Oracle Park
717207.0,85.0,Kauffman Stadium
717216.0,79.0,PNC Park
717209.0,74.0,Petco Park
717219.0,82.0,Oriole Park at Camden Yards
717214.0,73.0,Minute Maid Park
717215.0,79.0,Citi Field
717222.0,68.0,Rogers Centre
717217.0,77.0,Guaranteed Rate Field
717205.0,82.0,Dodger Stadium
717213.0,78.0,Busch Stadium
717211.0,89.0,Truist Park
717210.0,78.0,Chase Field
717218.0,72.0,loanDepot park
717203.0,77.0,Citi Field
717193.0,78.0,Chase Field
717201.0,69.0,Rogers Centre
717191.0,77.0,Petco Park
717195.0,86.0,Busch Stadium
717202.0,72.0,loanDepot park
717194.0,82.0,Dodger Stadium
717198.0,87.0,Kauffman Stadium
717206.0,87.0,Truist Park
717204.0,79.0,Guaranteed Rate Field
717196.0,73.0,Minute Maid Park
717199.0,93.0,Coors Field
717200.0,83.0,Oriole Park at Camden Yards
717208.0,70.0,PNC Park
717197.0,65.0,Oracle Park
717186.0,76.0,Rogers Centre
717179.0,70.0,Coors Field
717181.0,74.0,T-Mobile Park
717189.0,72.0,loanDepot park
717184.0,73.0,Minute Maid Park
717192.0,84.0,Nationals Park
717190.0,62.0,Oracle Park
717187.0,89.0,Truist Park
717185.0,80.0,Yankee Stadium
717188.0,74.0,Wrigley Field
717176.0,89.0,Truist Park
717174.0,84.0,Busch Stadium
717182.0,72.0,loanDepot park
717173.0,84.0,Wrigley Field
717178.0,75.0,PNC Park
717177.0,68.0,Rogers Centre
717175.0,78.0,Yankee Stadium
717183.0,79.0,Nationals Park
717172.0,73.0,Minute Maid Park
717171.0,78.0,Dodger Stadium
717167.0,77.0,T-Mobile Park
717180.0,60.0,Oracle Park
717170.0,93.0,Kauffman Stadium
717169.0,70.0,Coors Field
717168.0,74.0,Globe Life Field
717164.0,61.0,Oracle Park
717161.0,77.0,T-Mobile Park
717155.0,81.0,Busch Stadium
717152.0,74.0,Globe Life Field
717156.0,83.0,Kauffman Stadium
717159.0,72.0,loanDepot park
717158.0,84.0,Coors Field
717157.0,74.0,Rogers Centre
717166.0,73.0,PNC Park
717160.0,78.0,Yankee Stadium
717163.0,73.0,Minute Maid Park
717162.0,81.0,Nationals Park
717153.0,81.0,Wrigley Field
717165.0,84.0,Truist Park
717154.0,78.0,Dodger Stadium
717149.0,74.0,Globe Life Field
717150.0,82.0,Rogers Centre
717142.0,74.0,Yankee Stadium
717147.0,72.0,loanDepot park
717148.0,81.0,Kauffman Stadium
717143.0,88.0,American Family Field
717137.0,75.0,Dodger Stadium
717145.0,83.0,Busch Stadium
717146.0,83.0,Wrigley Field
717151.0,62.0,Oracle Park
717144.0,79.0,Angel Stadium
717139.0,89.0,Great American Ball Park
717128.0,83.0,Target Field
717140.0,76.0,Citizens Bank Park
717130.0,82.0,Angel Stadium
717132.0,78.0,Progressive Field
717136.0,77.0,Fenway Park
717138.0,74.0,Yankee Stadium
717135.0,81.0,Comerica Park
717131.0,75.0,American Family Field
717133.0,74.0,Globe Life Field
717134.0,80.0,Oriole Park at Camden Yards
717129.0,72.0,Petco Park
717127.0,83.0,Busch Stadium
717141.0,82.0,Wrigley Field
717112.0,74.0,Petco Park
717116.0,75.0,American Family Field
717120.0,87.0,Great American Ball Park
717117.0,75.0,Oakland Coliseum
717119.0,84.0,Busch Stadium
717114.0,85.0,Oriole Park at Camden Yards
717121.0,73.0,Wrigley Field
717115.0,77.0,Progressive Field
717126.0,80.0,Yankee Stadium
717109.0,84.0,Angel Stadium
717124.0,74.0,Globe Life Field
717122.0,77.0,Comerica Park
717118.0,84.0,Target Field
717123.0,86.0,Citizens Bank Park
717125.0,80.0,Fenway Park
718614.0,63.0,Angel Stadium
718619.0,70.0,Citizens Bank Park
718618.0,76.0,Oriole Park at Camden Yards
718615.0,73.0,Globe Life Field
718616.0,78.0,Target Field
718611.0,93.0,Chase Field
718626.0,59.0,Progressive Field
718623.0,72.0,PNC Park
718625.0,72.0,Tropicana Field
718622.0,68.0,Rogers Centre
718621.0,69.0,Citi Field
718613.0,82.0,Coors Field
718624.0,56.0,Oracle Park
718620.0,71.0,Truist Park
718617.0,76.0,Wrigley Field
717098.0,68.0,Wrigley Field
717102.0,74.0,Globe Life Field
717105.0,74.0,American Family Field
717101.0,90.0,Angel Stadium
717106.0,74.0,Target Field
717108.0,81.0,Progressive Field
717111.0,80.0,Fenway Park
717093.0,74.0,Petco Park
717113.0,87.0,Citizens Bank Park
717104.0,84.0,Great American Ball Park
717103.0,74.0,Comerica Park
717107.0,88.0,Oriole Park at Camden Yards
717100.0,81.0,Oakland Coliseum
717099.0,83.0,Busch Stadium
717110.0,81.0,Yankee Stadium
717090.0,78.0,Angel Stadium
717088.0,74.0,Guaranteed Rate Field
717089.0,69.0,Fenway Park
717092.0,78.0,Citi Field
717091.0,72.0,Comerica Park
717086.0,74.0,American Family Field
717081.0,70.0,Oakland Coliseum
717087.0,70.0,Progressive Field
717097.0,75.0,Great American Ball Park
717094.0,76.0,Petco Park
717095.0,74.0,PNC Park
717075.0,78.0,Guaranteed Rate Field
717082.0,79.0,Citizens Bank Park
717076.0,82.0,Comerica Park
717068.0,77.0,Angel Stadium
717074.0,78.0,Progressive Field
717072.0,78.0,T-Mobile Park
717085.0,72.0,Tropicana Field
717077.0,78.0,Fenway Park
717080.0,77.0,Citi Field
717073.0,76.0,Chase Field
717096.0,81.0,Citizens Bank Park
717084.0,81.0,Oriole Park at Camden Yards
717079.0,81.0,PNC Park
717069.0,66.0,Oakland Coliseum
717083.0,81.0,Great American Ball Park
717078.0,82.0,American Family Field
717066.0,86.0,Citizens Bank Park
717065.0,82.0,American Family Field
717067.0,85.0,Oriole Park at Camden Yards
717070.0,81.0,Great American Ball Park
717059.0,79.0,Fenway Park
717071.0,74.0,Angel Stadium
717063.0,71.0,Oakland Coliseum
717062.0,84.0,Citi Field
717061.0,81.0,Comerica Park
717057.0,78.0,Chase Field
717060.0,80.0,Progressive Field
717055.0,75.0,T-Mobile Park
717054.0,76.0,Guaranteed Rate Field
717058.0,81.0,PNC Park
717064.0,72.0,Tropicana Field
717049.0,74.0,Citizens Bank Park
717048.0,72.0,Tropicana Field
717051.0,77.0,Fenway Park
717053.0,79.0,Oriole Park at Camden Yards
717050.0,80.0,Comerica Park
717052.0,75.0,Progressive Field
717056.0,73.0,PNC Park
717045.0,74.0,Dodger Stadium
717044.0,84.0,Citizens Bank Park
717036.0,83.0,Guaranteed Rate Field
717040.0,82.0,Citi Field
717043.0,82.0,Nationals Park
717034.0,75.0,T-Mobile Park
717035.0,78.0,Chase Field
717046.0,83.0,PNC Park
717037.0,73.0,Minute Maid Park
717042.0,80.0,Fenway Park
717032.0,73.0,Dodger Stadium
717041.0,73.0,Rogers Centre
717038.0,72.0,Tropicana Field
717031.0,64.0,Oracle Park
717047.0,72.0,loanDepot park
717039.0,93.0,Kauffman Stadium
717025.0,72.0,loanDepot park
718371.0,83.0,Citi Field
717021.0,79.0,Citi Field
717018.0,78.0,T-Mobile Park
717022.0,73.0,Minute Maid Park
717026.0,77.0,Rogers Centre
717030.0,87.0,Nationals Park
717020.0,78.0,Chase Field
717023.0,81.0,Guaranteed Rate Field
717019.0,90.0,Kauffman Stadium
717028.0,84.0,Citizens Bank Park
717029.0,67.0,Oracle Park
717017.0,77.0,Dodger Stadium
717033.0,80.0,Fenway Park
717024.0,72.0,Tropicana Field
717013.0,85.0,Citi Field
717008.0,72.0,Oracle Park
717006.0,75.0,Guaranteed Rate Field
717011.0,72.0,loanDepot park
717010.0,72.0,Tropicana Field
717016.0,88.0,Nationals Park
717014.0,82.0,Fenway Park
717009.0,86.0,Citizens Bank Park
717003.0,78.0,Chase Field
717015.0,79.0,PNC Park
717005.0,82.0,T-Mobile Park
717012.0,75.0,Rogers Centre
717007.0,83.0,Dodger Stadium
717004.0,73.0,Minute Maid Park
717027.0,82.0,PNC Park
716994.0,76.0,Kauffman Stadium
717002.0,81.0,Citi Field
716997.0,74.0,Globe Life Field
716995.0,79.0,Busch Stadium
716996.0,69.0,Petco Park
717000.0,72.0,loanDepot park
716998.0,79.0,Coors Field
716999.0,68.0,Oracle Park
717001.0,91.0,Truist Park
716985.0,74.0,Globe Life Field
716990.0,68.0,Rogers Centre
716992.0,72.0,Great American Ball Park
716984.0,74.0,Busch Stadium
716986.0,71.0,Wrigley Field
716991.0,72.0,loanDepot park
716987.0,80.0,Truist Park
716988.0,78.0,Citi Field
716981.0,76.0,Kauffman Stadium
716983.0,78.0,Target Field
716993.0,81.0,Nationals Park
716980.0,73.0,Petco Park
716978.0,90.0,Coors Field
716989.0,67.0,Oracle Park
716979.0,77.0,Dodger Stadium
718605.0,76.0,Target Field
718599.0,84.0,Oriole Park at Camden Yards
718595.0,75.0,Globe Life Field
718603.0,61.0,Rogers Centre
718601.0,75.0,Truist Park
718610.0,77.0,Citi Field
718612.0,55.0,Oracle Park
718606.0,77.0,Wrigley Field
718609.0,84.0,Citizens Bank Park
718608.0,77.0,PNC Park
718602.0,65.0,Angel Stadium
718607.0,85.0,Coors Field
718600.0,72.0,Tropicana Field
718598.0,72.0,Chase Field
718604.0,70.0,Progressive Field
716971.0,74.0,Globe Life Field
716968.0,75.0,Wrigley Field
716963.0,82.0,Kauffman Stadium
716973.0,79.0,Great American Ball Park
716974.0,78.0,Citi Field
716970.0,82.0,Truist Park
716965.0,76.0,Petco Park
716972.0,72.0,loanDepot park
716977.0,95.0,Coors Field
716982.0,83.0,Nationals Park
716967.0,79.0,Rogers Centre
716969.0,83.0,Busch Stadium
716975.0,71.0,Oracle Park
716976.0,81.0,Target Field
716962.0,78.0,Dodger Stadium
716957.0,71.0,Petco Park
716961.0,74.0,Dodger Stadium
716958.0,84.0,Busch Stadium
716966.0,90.0,Nationals Park
716964.0,82.0,Kauffman Stadium
716942.0,72.0,Petco Park
716955.0,73.0,Wrigley Field
716948.0,73.0,Minute Maid Park
716949.0,83.0,Truist Park
716954.0,77.0,Great American Ball Park
716951.0,78.0,Target Field
716953.0,78.0,Yankee Stadium
716946.0,76.0,Dodger Stadium
716944.0,68.0,Oakland Coliseum
716950.0,74.0,Globe Life Field
716956.0,72.0,Progressive Field
716947.0,84.0,Coors Field
716952.0,79.0,Busch Stadium
716959.0,71.0,Progressive Field
716945.0,81.0,Angel Stadium
716960.0,84.0,Nationals Park
716938.0,74.0,Globe Life Field
716931.0,72.0,Petco Park
716919.0,71.0,Petco Park
716935.0,83.0,Great American Ball Park
716926.0,77.0,Dodger Stadium
716925.0,76.0,Angel Stadium
716937.0,80.0,Wrigley Field
716936.0,90.0,Target Field
716940.0,87.0,Busch Stadium
716934.0,87.0,Truist Park
716933.0,91.0,Coors Field
716941.0,80.0,Nationals Park
716932.0,73.0,Minute Maid Park
716939.0,74.0,Progressive Field
716909.0,79.0,Dodger Stadium
716915.0,78.0,Angel Stadium
716943.0,73.0,Yankee Stadium
716930.0,70.0,Oakland Coliseum
716916.0,86.0,Coors Field
716922.0,83.0,Progressive Field
716927.0,89.0,Truist Park
716918.0,74.0,Globe Life Field
716921.0,95.0,Busch Stadium
716929.0,79.0,Muncy Bank Ballpark
716928.0,82.0,Yankee Stadium
716917.0,85.0,Wrigley Field
716914.0,78.0,Oakland Coliseum
716924.0,89.0,Great American Ball Park
716923.0,76.0,Target Field
716920.0,73.0,Minute Maid Park
716908.0,73.0,Minute Maid Park
716911.0,88.0,Citizens Bank Park
716905.0,73.0,Guaranteed Rate Field
716907.0,72.0,Petco Park
716910.0,92.0,Truist Park
716913.0,78.0,Comerica Park
716912.0,86.0,PNC Park
716906.0,77.0,Chase Field
716904.0,72.0,Oakland Coliseum
716900.0,77.0,Yankee Stadium
716892.0,81.0,Angel Stadium
716897.0,72.0,Progressive Field
716901.0,76.0,PNC Park
716893.0,82.0,Guaranteed Rate Field
716896.0,73.0,Comerica Park
716895.0,73.0,Minute Maid Park
716887.0,73.0,Petco Park
716891.0,92.0,Truist Park
716902.0,81.0,Oriole Park at Camden Yards
716889.0,76.0,Chase Field
716894.0,76.0,American Family Field
716898.0,72.0,Tropicana Field
716899.0,79.0,Citizens Bank Park
716888.0,72.0,Oakland Coliseum
716876.0,91.0,Truist Park
716874.0,79.0,Oriole Park at Camden Yards
716883.0,74.0,Petco Park
716878.0,73.0,Minute Maid Park
716881.0,95.0,Guaranteed Rate Field
716882.0,97.0,American Family Field
716884.0,82.0,Oakland Coliseum
716885.0,69.0,Comerica Park
716877.0,73.0,Yankee Stadium
716903.0,76.0,Angel Stadium
716879.0,82.0,Citizens Bank Park
716886.0,76.0,PNC Park
716890.0,85.0,Angel Stadium
716880.0,72.0,Tropicana Field
716875.0,72.0,Progressive Field
716873.0,73.0,Minute Maid Park
716870.0,84.0,PNC Park
716869.0,72.0,Tropicana Field
716868.0,77.0,Chase Field
716871.0,78.0,Progressive Field
716865.0,79.0,Oriole Park at Camden Yards
716872.0,74.0,Yankee Stadium
716867.0,84.0,Target Field
716864.0,91.0,Guaranteed Rate Field
716858.0,76.0,Comerica Park
716855.0,76.0,Citi Field
716857.0,75.0,American Family Field
716854.0,72.0,Tropicana Field
716860.0,77.0,Rogers Centre
716856.0,77.0,Guaranteed Rate Field
716861.0,85.0,Citizens Bank Park
716863.0,72.0,loanDepot park
716866.0,70.0,Fenway Park
716852.0,64.0,Oracle Park
716862.0,80.0,PNC Park
716851.0,78.0,Chase Field
716853.0,74.0,T-Mobile Park
716859.0,85.0,Oriole Park at Camden Yards
716850.0,84.0,Target Field
718593.0,59.0,Rogers Centre
718597.0,82.0,Great American Ball Park
718591.0,79.0,Busch Stadium
718590.0,86.0,Yankee Stadium
718589.0,55.0,Petco Park
718596.0,84.0,Oriole Park at Camden Yards
718594.0,72.0,Tropicana Field
716847.0,85.0,Citizens Bank Park
716839.0,72.0,Target Field
716845.0,72.0,Tropicana Field
716848.0,64.0,Oracle Park
716841.0,72.0,Guaranteed Rate Field
716844.0,72.0,loanDepot park
716843.0,75.0,Comerica Park
716838.0,67.0,American Family Field
716849.0,83.0,Fenway Park
716837.0,90.0,Oriole Park at Camden Yards
716833.0,79.0,Chase Field
716832.0,79.0,T-Mobile Park
716842.0,79.0,PNC Park
716846.0,68.0,Rogers Centre
716840.0,82.0,Citi Field
716827.0,72.0,loanDepot park
716829.0,79.0,Citi Field
716826.0,71.0,Guaranteed Rate Field
716820.0,77.0,T-Mobile Park
716830.0,71.0,Comerica Park
716822.0,71.0,American Family Field
716825.0,68.0,Rogers Centre
716835.0,86.0,Citizens Bank Park
716828.0,72.0,Tropicana Field
716834.0,73.0,PNC Park
716821.0,78.0,Chase Field
716824.0,71.0,Target Field
716831.0,74.0,Fenway Park
716836.0,90.0,Oriole Park at Camden Yards
716819.0,70.0,Oracle Park
716811.0,83.0,Kauffman Stadium
716809.0,79.0,Busch Stadium
716817.0,77.0,Citizens Bank Park
716805.0,83.0,Dodger Stadium
716814.0,70.0,Fenway Park
716808.0,74.0,Comerica Park
